Bugbear,Centaur,Changeling,Elf (Drow),Elf (Eladrin),Elf (High),Elf (Mark of Shadow),Elf (Sea),Elf (Shadar-kai),Elf (Wood),Gith (Githyanki),Goliath,Half-Elf,Half-Elf (Aquatic Elf Descent),Half-Elf (Drow Descent),Half-Elf (Mark of Detection),Half-Elf (Mark of Storm),Half-Elf (Moon Elf or Sun Elf Descent),Half-Elf (Wood Elf Descent),Half-Orc,Human (Variant),Kenku,Lizardfolk,Minotaur,Orc,Shifter (Beasthide),Shifter (Longtooth),Shifter (Swiftstride),Shifter (Wildhunt),Tabaxi,Verdan,Warforged
Stealth,Animal Handling,Deception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Acrobatics,Athletics,Acrobatics,Acrobatics,Acrobatics,Acrobatics,Acrobatics,Acrobatics,Acrobatics,Intimidation,Acrobatics,Acrobatics,Animal Handling,Intimidation,Animal Handling,Athletic,Intimidation,Acrobatics,Survival,Perception,Persuasion,Acrobatics
,Medicine,Insight,,,,,,,,Animal Handling,,Animal Handling,Animal Handling,Animal Handling,Animal Handling,Animal Handling,Animal Handling,Animal Handling,,Animal Handling,Deception,Nature,Persuasion,Insight,,,,,Stealth,,Animal Handling
,Nature,Intimidation,,,,,,,,Arcana,,Arcana,Arcana,Arcana,Arcana,Arcana,Arcana,Arcana,,Arcana,Stealth,Perception,,Intimidation,,,,,,,Arcana
,Survival,Persuasion,,,,,,,,Athletics,,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,,Athletics,Sleight of Hand,Stealth,,Medicine,,,,,,,Athletics
,,,,,,,,,,Deception,,Deception,Deception,Deception,Deception,Deception,Deception,Deception,,Deception,,and Survival,,Nature,,,,,,,Deception
,,,,,,,,,,History,,History,History,History,History,History,History,History,,History,,,,Perception,,,,,,,History
,,,,,,,,,,Insight,,Insight,Insight,Insight,Insight,Insight,Insight,Insight,,Insight,,,,Survival,,,,,,,Insight
,,,,,,,,,,Intimidation,,Intimidation,Intimidation,Intimidation,Intimidation,Intimidation,Intimidation,Intimidation,,Intimidation,,,,,,,,,,,Intimidation
,,,,,,,,,,Investigation,,Investigation,Investigation,Investigation,Investigation,Investigation,Investigation,Investigation,,Investigation,,,,,,,,,,,Investigation
,,,,,,,,,,Medicine,,Medicine,Medicine,Medicine,Medicine,Medicine,Medicine,Medicine,,Medicine,,,,,,,,,,,Medicine
,,,,,,,,,,Nature,,Nature,Nature,Nature,Nature,Nature,Nature,Nature,,Nature,,,,,,,,,,,Nature
,,,,,,,,,,Perception,,Perception,Perception,Perception,Perception,Perception,Perception,Perception,,Perception,,,,,,,,,,,Perception
,,,,,,,,,,Performance,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Performance,,,,,,,,,,,Performance
,,,,,,,,,,Persuasion,,Persuasion,Persuasion,Persuasion,Persuasion,Persuasion,Persuasion,Persuasion,,Persuasion,,,,,,,,,,,Persuasion
,,,,,,,,,,Religion,,Religion,Religion,Religion,Religion,Religion,Religion,Religion,,Religion,,,,,,,,,,,Religion
,,,,,,,,,,Sleight of Hand,,Sleight of Hand,Sleight of Hand,Sleight of Hand,Sleight of Hand,Sleight of Hand,Sleight of Hand,Sleight of Hand,,Sleight of Hand,,,,,,,,,,,Sleight of Hand
,,,,,,,,,,Stealth,,Stealth,Stealth,Stealth,Stealth,Stealth,Stealth,Stealth,,Stealth,,,,,,,,,,,Stealth
,,,,,,,,,,Survival,,Survival,Survival,Survival,Survival,Survival,Survival,Survival,,Survival,,,,,,,,,,,Survival